id;prenom;nom;genre;age;vivant;fiction;celebre;pays_origine;Pays_residence;domaine_metier;metier;passe_metier;proche;enfants;groupe;ecran;religion;
1;fifty;Cent;M;20-40;1;0;1;USA;F;Musique;Chanteur;Chanteur Rap;0;1970;Americain du nord;;0;
2;Aaliyah;Aaliyah;M;20-40;0;0;1;USA;a;Musique;Chanteur;Chanteur Rnb;0;1970;Americain du nord;;0;
3;Abraham;Lincoln;M;40-60;0;0;1;USA;a;Politique;President ;16 eme President ;0;1800;Americain du nord;;0;
4;Adam;Brody;M;20-40;1;0;1;USA;a;Cinema;Acteur;Acteur dans une serie;0;1970;Americain du nord;Smallville;0;
5;Adam;Lambert;M;20-40;1;0;1;USA;a;Musique;Chanteur;Danseur;0;1980;Americain du nord;;0;
6;Adam;Sandler;M;40-60;1;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;WaterBoy;0;
7;Adele;Adele;F;20-40;1;0;1;UK;a;Musique;Chanteur;Chanteur Pop;0;1980;Europeen;;0;
8;Adriana;Karembeu;F;40-60;1;0;1;Slovaquie;a;Mode;Mannequin;Egerie de Dior;0;1970;Europeen;;0;
9;Adriana;Lima;F;20-40;1;0;1;Bresil;a;Mode;Mannequin;Egerie de Victoria's Secret;0;1980;Americain du sud;;0;
10;Adrien;Brody;M;40-60;1;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1970;Americain du nord;Le pianiste;0;
11;Aishwarya;Rai;F;40-60;1;0;1;Inde;a;Cinema;Actrice;Mannequin;0;1970;D'Asie;;0;
12;Al;Pacino;M;60-80;1;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1940;Americain du nord;Le parrain;0;
13;Alain;Bashung;M;60-80;0;0;1;France;a;Musique;Chanteur;Chanteur Variete;0;1940;Europeen;;0;
14;Alain;Delon;M;60-80;1;0;1;France;a;Cinema;Acteur;Acteur de film ;0;1930;Europeen;La piscine;0;
15;Alain;Souchon;M;60-80;1;0;1;France;a;Musique;Chanteur;Chanteur Variete;0;1940;Europeen;;0;
16;Alan;Rickman;M;60-80;1;0;1;UK;a;Cinema;Acteur;Acteur de film;0;1940;Europeen;Galaxy Quest;0;
17;Alanis;Morissette;F;20-40;1;0;1;Canada;a;Musique;Chanteuse;Chanteur Pop;0;1970;Americain du nord;;0;
18;Albert;Einstein;M;60-80;0;0;1;Allemagne;a;Physique;Inventeur Mecanique quantique;Inventeur Mecanique quantique;0;1970;Europeen;;0;
19;Alec;Baldwin;M;40-60;1;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Les infiltres;0;
20;Alessandra;Ambrosio;F;20-40;1;0;1;Bresil;a;Mode;Mannequin;Egerie de Guess;0;1980;Americain du sud;;0;
21;Alex;Oloughlin;M;20-40;1;0;1;Australie;a;Cinema;Acteur;Acteur de film ;0;1970;D'Oceanie;Oyster Farmer;0;
22;Alexander;Skarsgard;M;20-40;1;0;1;Suede;a;Cinema;Acteur;Acteur dans une serie;0;1970;Europeen;True Blood;0;
23;Alfred;Hitchcock;M;80-120;0;0;1;UK;a;Cinema;Realisateur;Acteur de film ;0;1880;Europeen;Psychose;0;
24;Alice;Cooper;M;60-80;1;0;1;USA;a;Musique;Chanteur;Chanteur Hard rock;0;1940;Americain du nord;;0;
25;Alicia;Keys;F;20-40;1;0;1;USA;a;Musique;Chanteuse;Chanteur Soul;0;1980;Americain du nord;;0;
26;Alicia;Silverstone;F;20-40;1;0;1;USA;a;Cinema;Actrice;Acteur de film ;0;1970;Americain du nord;Clueless;0;
27;Alicia;Witt;F;20-40;1;0;1;USA;a;Cinema;Actrice;Acteur de film ;0;1970;Americain du nord;Vanilla Sky;0;
28;Alizee;Alizee;F;20-40;1;0;1;France;a;Musique;Chanteuse;Chanteur Pop ;0;1980;Europeen;;0;
29;Allison;Mack;F;20-40;1;0;1;USA;a;Cinema;Actrice;Acteur dans une serie;0;1980;Americain du nord;smallville;0;
30;Alyson;Hannigan;F;20-40;1;0;1;USA;a;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du nord;How I met your mother;0;
31;Alyssa;Milano;F;40-60;1;0;1;USA;a;Cinema;Actrice;Acteur dans une serie;0;1970;Americain du nord;Charmed;0;
32;Amanda;Seyfried;F;20-40;1;0;1;USA;a;Cinema;Actrice;Actrice film;0;1980;Americain du nord;Lolita malgre moi;0;
33;Amel;Bent;F;20-40;1;0;1;France;a;Musique;Chanteuse;Chanteuse Rnb;0;1980;Europeen;;0;
34;Amitabh;Bachchan;M;60-80;1;0;1;Inde;a;Cinema;Acteur;Acteur de film;0;1940;D'Asie;Black ;0;
35;Amy;Lee;F;20-40;1;0;1;USA;a;Musique;Chanteuse;Chanteuse Rock;0;1980;Americain du nord;;0;
36;Amy;Winehouse;F;20-40;0;0;1;UK;a;Musique;Chanteuse;Chanteuse Jazz;0;1980;Europeen;;0;
37;Ana;Beatriz-barros;F;20-40;1;0;1;Bresil;a;Mode;Mannequin;Egerie de Guess;0;1980;Americain du sud;;0;
38;Anastacia;Newkirk ;F;40-60;1;0;1;USA;a;Musique;Chanteuse;Chanteuse Pop;0;1960;Americain du nord;;0;
39;Andie;MacDowell;F;40-60;1;0;1;USA;a;Cinema;Actrice;Actrice de film;0;1950;Americain du nord;Quatre marriages et un enterrement;0;
40;Andrea;Bocelli;M;40-60;1;0;1;Italie;a;Musique;Chanteur;Chanteur Pop;0;1950;Europeen;;0;
41;Andy;Garcia;M;40-60;1;0;1;Cuba;a;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Le parrain 3;0;
42;Andy;Warhol;M;40-60;0;0;1;USA;a;Art;Peintre;Peintre pop art;0;1920;Americain du nord;;0;
43;Angelina;Jolie;F;20-40;1;0;1;USA;a;Cinema;Actrice;Actrice à Hollywood;0;1970;Americain du nord;Tomb Raider;0;
44;Angie;Everhart;F;40-60;1;0;1;USA;a;Cinema;Mannequin;Egerie dans Elle;0;1960;Americain du nord;Last Action Hero;0;
